PAIR,BID,ASK,TIME
ADA/USD,1.5244,1.5257,11-06-21 11:15:41
ADA/USD,1.5239,1.5252,11-06-21 11:15:31
ADA/USD,1.523,1.5244,11-06-21 11:15:21
ADA/USD,1.5231,1.5239,11-06-21 11:15:11
ADA/USD,1.5236,1.5241,11-06-21 11:15:01
ADA/USD,1.5236,1.5243,11-06-21 11:14:51
ADA/USD,1.5236,1.5244,11-06-21 11:14:41
ADA/USD,1.5236,1.5246,11-06-21 11:14:31
ADA/USD,1.5234,1.5249,11-06-21 11:14:21
ADA/USD,1.5233,1.5246,11-06-21 11:14:11
ADA/USD,1.523,1.5242,11-06-21 11:14:01
ADA/USD,1.5225,1.5242,11-06-21 11:13:51
ADA/USD,1.5225,1.5239,11-06-21 11:13:41
ADA/USD,1.5215,1.523,11-06-21 11:13:31
ADA/USD,1.5212,1.5229,11-06-21 11:13:21
ADA/USD,1.5217,1.5231,11-06-21 11:13:11
ADA/USD,1.521,1.5225,11-06-21 11:13:01
ADA/USD,1.5207,1.5221,11-06-21 11:12:51
ADA/USD,1.5207,1.522,11-06-21 11:12:41
ADA/USD,1.521,1.5224,11-06-21 11:12:31
ADA/USD,1.521,1.5224,11-06-21 11:12:21
ADA/USD,1.5226,1.5241,11-06-21 11:12:11
ADA/USD,1.5239,1.525,11-06-21 11:12:01
ADA/USD,1.5242,1.5253,11-06-21 11:11:51
ADA/USD,1.5243,1.5254,11-06-21 11:11:41
ADA/USD,1.5244,1.5256,11-06-21 11:11:31
ADA/USD,1.5244,1.5256,11-06-21 11:11:21
ADA/USD,1.5241,1.5256,11-06-21 11:11:11
ADA/USD,1.5248,1.5259,11-06-21 11:11:01
ADA/USD,1.524,1.5241,11-06-21 11:10:51
ADA/USD,1.524,1.5241,11-06-21 11:10:41
ADA/USD,1.5237,1.5241,11-06-21 11:10:31
ADA/USD,1.5237,1.5241,11-06-21 11:10:20
ADA/USD,1.5239,1.5241,11-06-21 11:10:11
ADA/USD,1.524,1.525,11-06-21 11:10:01
ADA/USD,1.524,1.5252,11-06-21 11:09:51
ADA/USD,1.524,1.5254,11-06-21 11:09:41
ADA/USD,1.5237,1.5251,11-06-21 11:09:31
ADA/USD,1.5241,1.5253,11-06-21 11:09:21
ADA/USD,1.5233,1.5242,11-06-21 11:09:11
ADA/USD,1.5234,1.5242,11-06-21 11:09:01
ADA/USD,1.5232,1.5242,11-06-21 11:08:51
ADA/USD,1.5231,1.5242,11-06-21 11:08:41
ADA/USD,1.523,1.5242,11-06-21 11:08:31
ADA/USD,1.5228,1.5242,11-06-21 11:08:21
ADA/USD,1.5241,1.5242,11-06-21 11:08:11
ADA/USD,1.5234,1.525,11-06-21 11:08:01
ADA/USD,1.5241,1.5253,11-06-21 11:07:51
ADA/USD,1.5244,1.5255,11-06-21 11:07:41
ADA/USD,1.5258,1.5272,11-06-21 11:07:31
ADA/USD,1.5264,1.5276,11-06-21 11:07:21
ADA/USD,1.5264,1.5276,11-06-21 11:07:11
ADA/USD,1.527,1.5281,11-06-21 11:07:01
ADA/USD,1.527,1.5281,11-06-21 11:06:51
ADA/USD,1.5273,1.5283,11-06-21 11:06:41
ADA/USD,1.527,1.5283,11-06-21 11:06:31
ADA/USD,1.5269,1.5282,11-06-21 11:06:20
ADA/USD,1.5269,1.5279,11-06-21 11:06:11
ADA/USD,1.5269,1.5282,11-06-21 11:06:01
