PAIR,BID,ASK,TIME
BTC/USD,36684,36685,11-06-21 3:52:50
BTC/USD,36688,36693,11-06-21 3:52:40
BTC/USD,36695,36701,11-06-21 3:52:30
BTC/USD,36715,36716,11-06-21 3:52:20
BTC/USD,36713,36716,11-06-21 3:52:10
BTC/USD,36713,36715,11-06-21 3:52:00
BTC/USD,36714,36716,11-06-21 3:51:50
BTC/USD,36691,36692,11-06-21 3:51:40
BTC/USD,36695,36696,11-06-21 3:51:30
BTC/USD,36695,36696,11-06-21 3:51:20
BTC/USD,36681,36683,11-06-21 3:51:10
BTC/USD,36652,36653,11-06-21 3:51:00
BTC/USD,36654,36656,11-06-21 3:50:50
BTC/USD,36656,36657,11-06-21 3:50:40
BTC/USD,36656,36657,11-06-21 3:50:30
BTC/USD,36654,36657,11-06-21 3:50:20
BTC/USD,36638,36642,11-06-21 3:50:10
BTC/USD,36649,36660,11-06-21 3:50:00
BTC/USD,36665,36676,11-06-21 3:49:50
BTC/USD,36661,36669,11-06-21 3:49:40
BTC/USD,36645,36646,11-06-21 3:49:30
BTC/USD,36644,36649,11-06-21 3:49:20
BTC/USD,36666,36667,11-06-21 3:49:10
BTC/USD,36649,36650,11-06-21 3:49:00
BTC/USD,36657,36658,11-06-21 3:48:50
BTC/USD,36657,36658,11-06-21 3:48:40
BTC/USD,36657,36658,11-06-21 3:48:30
BTC/USD,36657,36658,11-06-21 3:48:20
BTC/USD,36657,36658,11-06-21 3:48:10
BTC/USD,36657,36662,11-06-21 3:48:00
BTC/USD,36658,36662,11-06-21 3:47:50
BTC/USD,36672,36676,11-06-21 3:47:40
BTC/USD,36671,36676,11-06-21 3:47:30
BTC/USD,36684,36691,11-06-21 3:47:20
BTC/USD,36697,36702,11-06-21 3:47:10
BTC/USD,36701,36710,11-06-21 3:47:00
BTC/USD,36713,36723,11-06-21 3:46:50
BTC/USD,36699,36709,11-06-21 3:46:40
BTC/USD,36691,36694,11-06-21 3:46:30
BTC/USD,36699,36707,11-06-21 3:46:20
BTC/USD,36719,36727,11-06-21 3:46:10
BTC/USD,36733,36734,11-06-21 3:46:00
BTC/USD,36711,36722,11-06-21 3:45:50
BTC/USD,36709,36717,11-06-21 3:45:40
BTC/USD,36678,36679,11-06-21 3:45:30
BTC/USD,36677,36678,11-06-21 3:45:20
BTC/USD,36672,36673,11-06-21 3:45:10
BTC/USD,36660,36661,11-06-21 3:45:00
BTC/USD,36658,36659,11-06-21 3:44:50
BTC/USD,36658,36659,11-06-21 3:44:40
BTC/USD,36657,36659,11-06-21 3:44:30
BTC/USD,36658,36659,11-06-21 3:44:20
BTC/USD,36655,36657,11-06-21 3:44:10
BTC/USD,36637,36644,11-06-21 3:44:00
BTC/USD,36642,36646,11-06-21 3:43:50
BTC/USD,36638,36644,11-06-21 3:43:40
BTC/USD,36623,36630,11-06-21 3:43:30
BTC/USD,36622,36630,11-06-21 3:43:20
BTC/USD,36622,36630,11-06-21 3:43:10
BTC/USD,36638,36644,11-06-21 3:43:00
BTC/USD,36617,36622,11-06-21 3:42:50
BTC/USD,36615,36621,11-06-21 3:42:40
BTC/USD,36605,36611,11-06-21 3:42:30
BTC/USD,36615,36617,11-06-21 3:42:20
BTC/USD,36634,36639,11-06-21 3:42:10
BTC/USD,36630,36638,11-06-21 3:42:00
BTC/USD,36637,36646,11-06-21 3:41:50
BTC/USD,36635,36645,11-06-21 3:41:40
BTC/USD,36627,36633,11-06-21 3:41:30
BTC/USD,36637,36638,11-06-21 3:41:20
BTC/USD,36631,36637,11-06-21 3:41:10
BTC/USD,36647,36654,11-06-21 3:41:00
BTC/USD,36654,36657,11-06-21 3:40:50
BTC/USD,36656,36657,11-06-21 3:40:40
BTC/USD,36632,36638,11-06-21 3:40:30
BTC/USD,36625,36627,11-06-21 3:40:20
BTC/USD,36613,36614,11-06-21 3:40:10
BTC/USD,36604,36612,11-06-21 3:40:00
BTC/USD,36610,36616,11-06-21 3:39:50
BTC/USD,36613,36620,11-06-21 3:39:40
BTC/USD,36610,36615,11-06-21 3:39:30
BTC/USD,36623,36629,11-06-21 3:39:20
BTC/USD,36619,36629,11-06-21 3:39:10
BTC/USD,36613,36619,11-06-21 3:39:00
BTC/USD,36591,36601,11-06-21 3:38:50
BTC/USD,36601,36608,11-06-21 3:38:40
BTC/USD,36596,36597,11-06-21 3:38:30
BTC/USD,36618,36619,11-06-21 3:38:20
BTC/USD,36615,36618,11-06-21 3:38:10
BTC/USD,36610,36618,11-06-21 3:38:00
BTC/USD,36608,36618,11-06-21 3:37:50
BTC/USD,36608,36618,11-06-21 3:37:40
BTC/USD,36622,36630,11-06-21 3:37:30
BTC/USD,36608,36616,11-06-21 3:37:20
BTC/USD,36606,36615,11-06-21 3:37:10
BTC/USD,36611,36621,11-06-21 3:37:00
BTC/USD,36601,36602,11-06-21 3:36:50
BTC/USD,36615,36616,11-06-21 3:36:40
BTC/USD,36628,36634,11-06-21 3:36:30
BTC/USD,36619,36624,11-06-21 3:36:20
BTC/USD,36616,36624,11-06-21 3:36:10
BTC/USD,36631,36639,11-06-21 3:36:00
BTC/USD,36617,36619,11-06-21 3:35:50
BTC/USD,36602,36609,11-06-21 3:35:40
BTC/USD,36590,36598,11-06-21 3:35:30
BTC/USD,36569,36576,11-06-21 3:35:20
BTC/USD,36567,36570,11-06-21 3:35:10
BTC/USD,36581,36584,11-06-21 3:35:00
BTC/USD,36580,36584,11-06-21 3:34:50
BTC/USD,36588,36590,11-06-21 3:34:40
BTC/USD,36589,36596,11-06-21 3:34:30
BTC/USD,36604,36611,11-06-21 3:34:20
BTC/USD,36599,36603,11-06-21 3:34:10
BTC/USD,36605,36607,11-06-21 3:34:00
BTC/USD,36576,36581,11-06-21 3:33:51
BTC/USD,36583,36587,11-06-21 3:33:40
BTC/USD,36585,36588,11-06-21 3:33:30
BTC/USD,36600,36601,11-06-21 3:33:20
BTC/USD,36595,36596,11-06-21 3:33:10
BTC/USD,36574,36581,11-06-21 3:33:00
BTC/USD,36581,36585,11-06-21 3:32:50
BTC/USD,36580,36582,11-06-21 3:32:40
BTC/USD,36582,36594,11-06-21 3:32:30
BTC/USD,36623,36631,11-06-21 3:32:20
BTC/USD,36635,36638,11-06-21 3:32:10
BTC/USD,36599,36612,11-06-21 3:32:00
BTC/USD,36599,36600,11-06-21 3:31:50
BTC/USD,36586,36587,11-06-21 3:31:40
BTC/USD,36611,36614,11-06-21 3:31:30
BTC/USD,36611,36612,11-06-21 3:31:20
BTC/USD,36614,36622,11-06-21 3:31:10
BTC/USD,36624,36634,11-06-21 3:31:00
BTC/USD,36630,36641,11-06-21 3:30:50
BTC/USD,36627,36637,11-06-21 3:30:40
BTC/USD,36629,36636,11-06-21 3:30:30
BTC/USD,36622,36629,11-06-21 3:30:20
BTC/USD,36660,36664,11-06-21 3:30:10
BTC/USD,36660,36662,11-06-21 3:30:00
BTC/USD,36669,36678,11-06-21 3:29:50
BTC/USD,36678,36685,11-06-21 3:29:40
BTC/USD,36693,36699,11-06-21 3:29:30
BTC/USD,36675,36679,11-06-21 3:29:20
BTC/USD,36670,36676,11-06-21 3:29:10
BTC/USD,36670,36680,11-06-21 3:29:00
BTC/USD,36674,36684,11-06-21 3:28:50
BTC/USD,36679,36689,11-06-21 3:28:40
BTC/USD,36690,36699,11-06-21 3:28:30
BTC/USD,36684,36690,11-06-21 3:28:20
BTC/USD,36683,36688,11-06-21 3:28:10
BTC/USD,36695,36703,11-06-21 3:28:00
BTC/USD,36707,36710,11-06-21 3:27:50
BTC/USD,36663,36672,11-06-21 3:27:40
BTC/USD,36676,36684,11-06-21 3:27:30
BTC/USD,36678,36688,11-06-21 3:27:20
BTC/USD,36686,36695,11-06-21 3:27:10
BTC/USD,36667,36674,11-06-21 3:27:00
BTC/USD,36679,36680,11-06-21 3:26:50
BTC/USD,36673,36675,11-06-21 3:26:40
BTC/USD,36678,36689,11-06-21 3:26:30
BTC/USD,36695,36697,11-06-21 3:26:20
BTC/USD,36724,36731,11-06-21 3:26:10
BTC/USD,36715,36724,11-06-21 3:26:00
BTC/USD,36715,36724,11-06-21 3:25:50
BTC/USD,36729,36734,11-06-21 3:25:40
BTC/USD,36741,36749,11-06-21 3:25:30
BTC/USD,36745,36746,11-06-21 3:25:20
BTC/USD,36734,36735,11-06-21 3:25:10
BTC/USD,36730,36734,11-06-21 3:25:00
BTC/USD,36738,36748,11-06-21 3:24:50
