PAIR,BID,ASK,TIME
DOT/USD,22.666,22.685,11-06-21 11:09:41
DOT/USD,22.652,22.68,11-06-21 11:09:31
DOT/USD,22.653,22.668,11-06-21 11:09:21
DOT/USD,22.655,22.671,11-06-21 11:09:11
DOT/USD,22.652,22.67,11-06-21 11:09:01
DOT/USD,22.653,22.67,11-06-21 11:08:51
DOT/USD,22.655,22.678,11-06-21 11:08:41
DOT/USD,22.644,22.67,11-06-21 11:08:31
DOT/USD,22.649,22.669,11-06-21 11:08:21
DOT/USD,22.659,22.687,11-06-21 11:08:11
DOT/USD,22.672,22.7,11-06-21 11:08:01
DOT/USD,22.681,22.702,11-06-21 11:07:51
DOT/USD,22.69,22.717,11-06-21 11:07:41
DOT/USD,22.69,22.717,11-06-21 11:07:31
DOT/USD,22.692,22.718,11-06-21 11:07:21
DOT/USD,22.685,22.706,11-06-21 11:07:11
DOT/USD,22.7,22.721,11-06-21 11:07:01
DOT/USD,22.705,22.715,11-06-21 11:06:51
DOT/USD,22.703,22.714,11-06-21 11:06:40
DOT/USD,22.704,22.719,11-06-21 11:06:30
DOT/USD,22.697,22.712,11-06-21 11:06:20
DOT/USD,22.698,22.713,11-06-21 11:06:11
DOT/USD,22.718,22.733,11-06-21 11:06:01
DOT/USD,22.718,22.734,11-06-21 11:05:51
DOT/USD,22.718,22.737,11-06-21 11:05:41
DOT/USD,22.725,22.747,11-06-21 11:05:31
DOT/USD,22.718,22.727,11-06-21 11:05:21
DOT/USD,22.716,22.727,11-06-21 11:05:11
DOT/USD,22.716,22.726,11-06-21 11:05:01
DOT/USD,22.716,22.725,11-06-21 11:04:51
DOT/USD,22.716,22.725,11-06-21 11:04:41
DOT/USD,22.716,22.725,11-06-21 11:04:31
DOT/USD,22.716,22.732,11-06-21 11:04:21
DOT/USD,22.729,22.734,11-06-21 11:04:11
DOT/USD,22.729,22.741,11-06-21 11:04:01
DOT/USD,22.729,22.737,11-06-21 11:03:51
DOT/USD,22.729,22.747,11-06-21 11:03:41
DOT/USD,22.729,22.745,11-06-21 11:03:31
DOT/USD,22.729,22.738,11-06-21 11:03:21
DOT/USD,22.729,22.744,11-06-21 11:03:11
DOT/USD,22.729,22.743,11-06-21 11:03:01
DOT/USD,22.729,22.746,11-06-21 11:02:51
DOT/USD,22.729,22.748,11-06-21 11:02:40
DOT/USD,22.723,22.743,11-06-21 11:02:31
DOT/USD,22.723,22.747,11-06-21 11:02:21
DOT/USD,22.739,22.747,11-06-21 11:02:11
DOT/USD,22.739,22.755,11-06-21 11:02:01
DOT/USD,22.738,22.758,11-06-21 11:01:51
DOT/USD,22.733,22.758,11-06-21 11:01:41
DOT/USD,22.733,22.756,11-06-21 11:01:31
DOT/USD,22.735,22.752,11-06-21 11:01:21
DOT/USD,22.753,22.775,11-06-21 11:01:11
DOT/USD,22.773,22.783,11-06-21 11:01:01
DOT/USD,22.77,22.791,11-06-21 11:00:51
DOT/USD,22.77,22.793,11-06-21 11:00:41
DOT/USD,22.767,22.784,11-06-21 11:00:31
DOT/USD,22.764,22.784,11-06-21 11:00:21
DOT/USD,22.762,22.784,11-06-21 11:00:11
DOT/USD,22.722,22.746,11-06-21 11:00:01
DOT/USD,22.72,22.739,11-06-21 10:59:51
DOT/USD,22.72,22.739,11-06-21 10:59:41
DOT/USD,22.736,22.749,11-06-21 10:59:31
DOT/USD,22.732,22.749,11-06-21 10:59:21
DOT/USD,22.717,22.739,11-06-21 10:59:11
DOT/USD,22.717,22.738,11-06-21 10:59:01
DOT/USD,22.724,22.746,11-06-21 10:58:51
DOT/USD,22.73,22.749,11-06-21 10:58:41
DOT/USD,22.718,22.737,11-06-21 10:58:31
DOT/USD,22.715,22.737,11-06-21 10:58:21
DOT/USD,22.713,22.736,11-06-21 10:58:11
DOT/USD,22.707,22.721,11-06-21 10:58:01
DOT/USD,22.715,22.741,11-06-21 10:57:51
DOT/USD,22.713,22.74,11-06-21 10:57:41
DOT/USD,22.713,22.734,11-06-21 10:57:31
DOT/USD,22.707,22.729,11-06-21 10:57:21
DOT/USD,22.699,22.716,11-06-21 10:57:11
DOT/USD,22.701,22.719,11-06-21 10:57:01
DOT/USD,22.705,22.72,11-06-21 10:56:51
DOT/USD,22.702,22.715,11-06-21 10:56:41
DOT/USD,22.701,22.727,11-06-21 10:56:31
DOT/USD,22.698,22.718,11-06-21 10:56:21
DOT/USD,22.717,22.737,11-06-21 10:56:11
DOT/USD,22.713,22.729,11-06-21 10:56:01
DOT/USD,22.731,22.744,11-06-21 10:55:51
DOT/USD,22.729,22.746,11-06-21 10:55:41
DOT/USD,22.729,22.747,11-06-21 10:55:31
DOT/USD,22.729,22.746,11-06-21 10:55:21
DOT/USD,22.734,22.749,11-06-21 10:55:11
DOT/USD,22.729,22.746,11-06-21 10:55:01
DOT/USD,22.729,22.749,11-06-21 10:54:51
DOT/USD,22.732,22.751,11-06-21 10:54:41
DOT/USD,22.729,22.752,11-06-21 10:54:31
DOT/USD,22.729,22.752,11-06-21 10:54:21
DOT/USD,22.729,22.752,11-06-21 10:54:11
DOT/USD,22.718,22.732,11-06-21 10:54:01
DOT/USD,22.722,22.737,11-06-21 10:53:51
DOT/USD,22.717,22.736,11-06-21 10:53:41
DOT/USD,22.724,22.744,11-06-21 10:53:31
DOT/USD,22.716,22.728,11-06-21 10:53:21
DOT/USD,22.719,22.739,11-06-21 10:53:11
DOT/USD,22.727,22.751,11-06-21 10:53:01
DOT/USD,22.727,22.751,11-06-21 10:52:51
DOT/USD,22.724,22.749,11-06-21 10:52:41
DOT/USD,22.724,22.745,11-06-21 10:52:30
DOT/USD,22.724,22.742,11-06-21 10:52:21
DOT/USD,22.716,22.743,11-06-21 10:52:11
DOT/USD,22.723,22.746,11-06-21 10:52:01
DOT/USD,22.722,22.739,11-06-21 10:51:51
DOT/USD,22.731,22.755,11-06-21 10:51:41
DOT/USD,22.726,22.755,11-06-21 10:51:31
DOT/USD,22.727,22.76,11-06-21 10:51:21
DOT/USD,22.727,22.752,11-06-21 10:51:11
DOT/USD,22.712,22.736,11-06-21 10:51:01
DOT/USD,22.71,22.73,11-06-21 10:50:51
DOT/USD,22.727,22.739,11-06-21 10:50:41
DOT/USD,22.724,22.748,11-06-21 10:50:31
DOT/USD,22.756,22.757,11-06-21 10:50:21
DOT/USD,22.756,22.765,11-06-21 10:50:11
DOT/USD,22.757,22.773,11-06-21 10:50:01
DOT/USD,22.756,22.769,11-06-21 10:49:51
DOT/USD,22.755,22.77,11-06-21 10:49:41
DOT/USD,22.752,22.764,11-06-21 10:49:31
DOT/USD,22.749,22.765,11-06-21 10:49:21
DOT/USD,22.742,22.767,11-06-21 10:49:11
DOT/USD,22.736,22.751,11-06-21 10:49:01
DOT/USD,22.774,22.788,11-06-21 10:48:51
DOT/USD,22.778,22.791,11-06-21 10:48:40
DOT/USD,22.791,22.807,11-06-21 10:48:31
DOT/USD,22.792,22.807,11-06-21 10:48:21
DOT/USD,22.778,22.803,11-06-21 10:48:11
DOT/USD,22.781,22.798,11-06-21 10:48:01
DOT/USD,22.779,22.803,11-06-21 10:47:51
DOT/USD,22.78,22.803,11-06-21 10:47:41
DOT/USD,22.781,22.802,11-06-21 10:47:31
DOT/USD,22.799,22.815,11-06-21 10:47:21
DOT/USD,22.798,22.812,11-06-21 10:47:11
DOT/USD,22.791,22.812,11-06-21 10:47:01
DOT/USD,22.791,22.809,11-06-21 10:46:51
DOT/USD,22.791,22.808,11-06-21 10:46:41
DOT/USD,22.808,22.825,11-06-21 10:46:31
DOT/USD,22.797,22.809,11-06-21 10:46:21
DOT/USD,22.797,22.823,11-06-21 10:46:11
DOT/USD,22.804,22.83,11-06-21 10:46:01
DOT/USD,22.827,22.853,11-06-21 10:45:51
DOT/USD,22.848,22.873,11-06-21 10:45:41
DOT/USD,22.848,22.86,11-06-21 10:45:31
DOT/USD,22.848,22.873,11-06-21 10:45:21
DOT/USD,22.867,22.9,11-06-21 10:45:11
DOT/USD,22.857,22.886,11-06-21 10:45:01
DOT/USD,22.836,22.866,11-06-21 10:44:51
