PAIR,BID,ASK,TIME
ETH/USD,2460,2460.4,11-06-21 11:38:00
ETH/USD,2460,2460.4,11-06-21 11:37:50
ETH/USD,2460.5,2461.1,11-06-21 11:37:40
ETH/USD,2461,2461.6,11-06-21 11:37:30
ETH/USD,2461,2461.3,11-06-21 11:37:20
ETH/USD,2461.2,2461.5,11-06-21 11:37:10
ETH/USD,2460.7,2461.4,11-06-21 11:37:00
ETH/USD,2461.2,2461.5,11-06-21 11:36:50
ETH/USD,2461.1,2461.5,11-06-21 11:36:40
ETH/USD,2461.2,2461.5,11-06-21 11:36:30
ETH/USD,2460.3,2460.9,11-06-21 11:36:20
ETH/USD,2460,2460.9,11-06-21 11:36:10
ETH/USD,2461.2,2461.6,11-06-21 11:36:00
ETH/USD,2460.9,2461.6,11-06-21 11:35:50
ETH/USD,2461.2,2461.6,11-06-21 11:35:40
ETH/USD,2460.3,2461.2,11-06-21 11:35:30
ETH/USD,2460.8,2461.5,11-06-21 11:35:20
ETH/USD,2460.7,2461.4,11-06-21 11:35:10
ETH/USD,2457.3,2457.7,11-06-21 11:35:00
ETH/USD,2458.7,2459.7,11-06-21 11:34:50
ETH/USD,2460.9,2461.7,11-06-21 11:34:40
ETH/USD,2461.5,2461.8,11-06-21 11:34:30
ETH/USD,2461.4,2461.7,11-06-21 11:34:20
ETH/USD,2460.8,2461.3,11-06-21 11:34:10
ETH/USD,2460.5,2461.1,11-06-21 11:34:00
ETH/USD,2459.4,2460.1,11-06-21 11:33:50
ETH/USD,2459.3,2459.5,11-06-21 11:33:40
ETH/USD,2458.9,2459.7,11-06-21 11:33:30
ETH/USD,2457.6,2458,11-06-21 11:33:20
ETH/USD,2457.4,2458.3,11-06-21 11:33:10
ETH/USD,2457.5,2458.7,11-06-21 11:33:00
ETH/USD,2457,2457.7,11-06-21 11:32:50
ETH/USD,2457.5,2458.5,11-06-21 11:32:40
ETH/USD,2459.7,2461.4,11-06-21 11:32:30
ETH/USD,2463.9,2464.9,11-06-21 11:32:20
ETH/USD,2462.7,2463.4,11-06-21 11:32:10
ETH/USD,2462.5,2463.2,11-06-21 11:32:00
ETH/USD,2462.1,2463,11-06-21 11:31:50
ETH/USD,2461.4,2462.3,11-06-21 11:31:40
ETH/USD,2462,2462.8,11-06-21 11:31:30
ETH/USD,2461.6,2462.6,11-06-21 11:31:20
ETH/USD,2463.5,2464.5,11-06-21 11:31:10
ETH/USD,2464.9,2465.8,11-06-21 11:31:00
ETH/USD,2468.1,2469.3,11-06-21 11:30:50
ETH/USD,2467.5,2468.4,11-06-21 11:30:40
ETH/USD,2466.6,2467.1,11-06-21 11:30:30
ETH/USD,2465.6,2465.9,11-06-21 11:30:20
ETH/USD,2464.3,2464.7,11-06-21 11:30:10
ETH/USD,2463.3,2464.5,11-06-21 11:30:00
ETH/USD,2463,2463.7,11-06-21 11:29:50
ETH/USD,2463.4,2464.1,11-06-21 11:29:40
ETH/USD,2465.4,2465.8,11-06-21 11:29:30
ETH/USD,2463.4,2464.3,11-06-21 11:29:20
ETH/USD,2462.7,2463.6,11-06-21 11:29:10
ETH/USD,2462.8,2463.7,11-06-21 11:29:00
ETH/USD,2461.6,2462.6,11-06-21 11:28:50
ETH/USD,2461.7,2462.5,11-06-21 11:28:40
ETH/USD,2463.4,2464.1,11-06-21 11:28:30
ETH/USD,2463.5,2463.7,11-06-21 11:28:20
ETH/USD,2463.1,2463.7,11-06-21 11:28:10
ETH/USD,2462.8,2463.5,11-06-21 11:28:00
ETH/USD,2462.1,2462.6,11-06-21 11:27:50
ETH/USD,2461.6,2462.6,11-06-21 11:27:40
ETH/USD,2460.1,2460.9,11-06-21 11:27:30
ETH/USD,2460.5,2461.7,11-06-21 11:27:20
ETH/USD,2461.5,2461.9,11-06-21 11:27:10
ETH/USD,2460.9,2461.9,11-06-21 11:27:00
ETH/USD,2461.2,2462,11-06-21 11:26:50
ETH/USD,2461.3,2462.4,11-06-21 11:26:40
ETH/USD,2461.1,2462.2,11-06-21 11:26:30
ETH/USD,2461.4,2462.7,11-06-21 11:26:20
ETH/USD,2460.9,2461.9,11-06-21 11:26:10
ETH/USD,2458.6,2459.7,11-06-21 11:26:00
ETH/USD,2457.6,2458.7,11-06-21 11:25:50
ETH/USD,2460,2460.1,11-06-21 11:25:40
ETH/USD,2461.3,2462,11-06-21 11:25:30
ETH/USD,2462.3,2463.1,11-06-21 11:25:20
ETH/USD,2461.7,2462.5,11-06-21 11:25:10
ETH/USD,2460.5,2461.3,11-06-21 11:25:00
ETH/USD,2461,2462.7,11-06-21 11:24:50
ETH/USD,2460,2461.4,11-06-21 11:24:40
ETH/USD,2459.3,2460.6,11-06-21 11:24:30
ETH/USD,2460.5,2461.7,11-06-21 11:24:20
ETH/USD,2463.4,2464.2,11-06-21 11:24:10
ETH/USD,2465.6,2465.9,11-06-21 11:24:00
ETH/USD,2464.9,2465.3,11-06-21 11:23:50
ETH/USD,2465.5,2465.8,11-06-21 11:23:40
ETH/USD,2466,2466.1,11-06-21 11:23:30
ETH/USD,2464.5,2464.7,11-06-21 11:23:20
ETH/USD,2464.3,2464.7,11-06-21 11:23:10
ETH/USD,2464.6,2465,11-06-21 11:23:00
ETH/USD,2464.4,2465,11-06-21 11:22:50
ETH/USD,2464.9,2465.5,11-06-21 11:22:40
ETH/USD,2465.2,2466.2,11-06-21 11:22:30
ETH/USD,2465.3,2466.6,11-06-21 11:22:20
ETH/USD,2463.4,2464.2,11-06-21 11:22:10
ETH/USD,2462.6,2463.2,11-06-21 11:22:00
ETH/USD,2462.9,2463,11-06-21 11:21:50
ETH/USD,2463.2,2464.1,11-06-21 11:21:40
ETH/USD,2462.8,2463.7,11-06-21 11:21:30
ETH/USD,2463,2463.9,11-06-21 11:21:20
ETH/USD,2465.3,2466.5,11-06-21 11:21:10
ETH/USD,2465.8,2467.2,11-06-21 11:21:00
ETH/USD,2464.7,2465.7,11-06-21 11:20:50
ETH/USD,2464.8,2465.8,11-06-21 11:20:40
ETH/USD,2464,2464.9,11-06-21 11:20:30
ETH/USD,2466.6,2467.5,11-06-21 11:20:20
ETH/USD,2464.4,2465.1,11-06-21 11:20:10
ETH/USD,2462.5,2462.6,11-06-21 11:20:00
