PAIR,BID,ASK,TIME
LINK/USD,22.93,22.945,11-06-21 11:42:31
LINK/USD,22.947,22.963,11-06-21 11:42:21
LINK/USD,22.947,22.963,11-06-21 11:42:11
LINK/USD,22.947,22.962,11-06-21 11:42:01
LINK/USD,22.947,22.96,11-06-21 11:41:51
LINK/USD,22.947,22.964,11-06-21 11:41:41
LINK/USD,22.947,22.963,11-06-21 11:41:31
LINK/USD,22.947,22.964,11-06-21 11:41:21
LINK/USD,22.946,22.967,11-06-21 11:41:11
LINK/USD,22.94,22.949,11-06-21 11:41:01
LINK/USD,22.937,22.949,11-06-21 11:40:51
LINK/USD,22.935,22.949,11-06-21 11:40:41
LINK/USD,22.93,22.949,11-06-21 11:40:31
LINK/USD,22.929,22.949,11-06-21 11:40:21
LINK/USD,22.929,22.945,11-06-21 11:40:11
LINK/USD,22.929,22.952,11-06-21 11:40:01
LINK/USD,22.926,22.949,11-06-21 11:39:51
LINK/USD,22.926,22.942,11-06-21 11:39:41
LINK/USD,22.908,22.922,11-06-21 11:39:31
LINK/USD,22.908,22.929,11-06-21 11:39:21
LINK/USD,22.908,22.929,11-06-21 11:39:11
LINK/USD,22.92,22.937,11-06-21 11:39:01
LINK/USD,22.92,22.937,11-06-21 11:38:51
LINK/USD,22.917,22.935,11-06-21 11:38:41
LINK/USD,22.91,22.929,11-06-21 11:38:31
LINK/USD,22.907,22.929,11-06-21 11:38:21
LINK/USD,22.905,22.928,11-06-21 11:38:11
LINK/USD,22.898,22.92,11-06-21 11:38:01
LINK/USD,22.898,22.918,11-06-21 11:37:51
LINK/USD,22.913,22.93,11-06-21 11:37:41
LINK/USD,22.911,22.939,11-06-21 11:37:31
LINK/USD,22.915,22.938,11-06-21 11:37:21
LINK/USD,22.903,22.922,11-06-21 11:37:11
LINK/USD,22.899,22.925,11-06-21 11:37:01
LINK/USD,22.898,22.923,11-06-21 11:36:51
LINK/USD,22.903,22.921,11-06-21 11:36:41
LINK/USD,22.903,22.924,11-06-21 11:36:31
LINK/USD,22.903,22.926,11-06-21 11:36:21
LINK/USD,22.903,22.924,11-06-21 11:36:11
LINK/USD,22.917,22.938,11-06-21 11:36:01
LINK/USD,22.908,22.929,11-06-21 11:35:51
LINK/USD,22.896,22.923,11-06-21 11:35:41
LINK/USD,22.895,22.926,11-06-21 11:35:31
LINK/USD,22.895,22.926,11-06-21 11:35:21
LINK/USD,22.879,22.904,11-06-21 11:35:11
LINK/USD,22.865,22.892,11-06-21 11:35:01
LINK/USD,22.872,22.896,11-06-21 11:34:51
LINK/USD,22.877,22.904,11-06-21 11:34:41
LINK/USD,22.884,22.908,11-06-21 11:34:31
LINK/USD,22.877,22.903,11-06-21 11:34:21
LINK/USD,22.882,22.905,11-06-21 11:34:11
LINK/USD,22.882,22.907,11-06-21 11:34:01
LINK/USD,22.864,22.894,11-06-21 11:33:51
LINK/USD,22.864,22.892,11-06-21 11:33:41
LINK/USD,22.865,22.894,11-06-21 11:33:31
LINK/USD,22.855,22.878,11-06-21 11:33:21
LINK/USD,22.853,22.878,11-06-21 11:33:11
LINK/USD,22.852,22.878,11-06-21 11:33:01
LINK/USD,22.862,22.891,11-06-21 11:32:51
LINK/USD,22.866,22.904,11-06-21 11:32:41
LINK/USD,22.901,22.921,11-06-21 11:32:31
LINK/USD,22.897,22.922,11-06-21 11:32:21
