PAIR,BID,ASK,TIME
LTC/USD,170.52,170.6,11-06-21 11:42:00
LTC/USD,170.44,170.52,11-06-21 11:41:50
LTC/USD,170.44,170.52,11-06-21 11:41:40
LTC/USD,170.44,170.52,11-06-21 11:41:30
LTC/USD,170.44,170.56,11-06-21 11:41:20
LTC/USD,170.44,170.56,11-06-21 11:41:10
LTC/USD,170.51,170.62,11-06-21 11:41:00
LTC/USD,170.46,170.58,11-06-21 11:40:50
LTC/USD,170.49,170.58,11-06-21 11:40:40
LTC/USD,170.48,170.59,11-06-21 11:40:30
LTC/USD,170.46,170.59,11-06-21 11:40:20
LTC/USD,170.53,170.61,11-06-21 11:40:10
LTC/USD,170.56,170.69,11-06-21 11:40:00
LTC/USD,170.54,170.56,11-06-21 11:39:50
LTC/USD,170.49,170.54,11-06-21 11:39:40
LTC/USD,170.37,170.44,11-06-21 11:39:30
LTC/USD,170.35,170.44,11-06-21 11:39:20
LTC/USD,170.39,170.45,11-06-21 11:39:10
LTC/USD,170.49,170.55,11-06-21 11:39:00
LTC/USD,170.49,170.54,11-06-21 11:38:50
LTC/USD,170.45,170.49,11-06-21 11:38:40
LTC/USD,170.37,170.4,11-06-21 11:38:30
LTC/USD,170.27,170.38,11-06-21 11:38:20
LTC/USD,170.29,170.42,11-06-21 11:38:10
LTC/USD,170.29,170.41,11-06-21 11:38:00
LTC/USD,170.29,170.41,11-06-21 11:37:50
LTC/USD,170.41,170.48,11-06-21 11:37:40
LTC/USD,170.47,170.49,11-06-21 11:37:30
LTC/USD,170.45,170.49,11-06-21 11:37:20
LTC/USD,170.41,170.46,11-06-21 11:37:10
LTC/USD,170.33,170.42,11-06-21 11:37:00
LTC/USD,170.33,170.4,11-06-21 11:36:50
LTC/USD,170.27,170.35,11-06-21 11:36:40
LTC/USD,170.27,170.35,11-06-21 11:36:30
LTC/USD,170.22,170.35,11-06-21 11:36:20
LTC/USD,170.28,170.38,11-06-21 11:36:10
LTC/USD,170.33,170.44,11-06-21 11:36:00
LTC/USD,170.18,170.2,11-06-21 11:35:50
LTC/USD,170.09,170.12,11-06-21 11:35:40
LTC/USD,170.1,170.12,11-06-21 11:35:30
LTC/USD,170.09,170.12,11-06-21 11:35:20
LTC/USD,170.01,170.12,11-06-21 11:35:10
LTC/USD,169.85,169.88,11-06-21 11:35:00
LTC/USD,169.93,169.94,11-06-21 11:34:50
LTC/USD,169.94,169.95,11-06-21 11:34:40
LTC/USD,169.94,169.95,11-06-21 11:34:30
LTC/USD,169.93,169.95,11-06-21 11:34:20
LTC/USD,169.91,169.95,11-06-21 11:34:10
LTC/USD,169.94,169.95,11-06-21 11:34:00
LTC/USD,169.93,169.95,11-06-21 11:33:50
LTC/USD,169.92,169.95,11-06-21 11:33:40
LTC/USD,169.94,169.95,11-06-21 11:33:30
LTC/USD,169.95,169.97,11-06-21 11:33:20
LTC/USD,169.95,169.98,11-06-21 11:33:10
LTC/USD,169.96,170,11-06-21 11:33:00
LTC/USD,169.95,170,11-06-21 11:32:50
LTC/USD,169.95,170.01,11-06-21 11:32:40
LTC/USD,170,170.02,11-06-21 11:32:30
LTC/USD,170.01,170.02,11-06-21 11:32:20
LTC/USD,170.01,170.02,11-06-21 11:32:10
LTC/USD,170,170.02,11-06-21 11:32:00
LTC/USD,170.01,170.02,11-06-21 11:31:50
LTC/USD,170,170.02,11-06-21 11:31:40
LTC/USD,169.99,170.02,11-06-21 11:31:30
LTC/USD,170.02,170.13,11-06-21 11:31:20
LTC/USD,170.09,170.2,11-06-21 11:31:10
LTC/USD,170.18,170.29,11-06-21 11:31:00
LTC/USD,170.33,170.42,11-06-21 11:30:50
LTC/USD,170.39,170.42,11-06-21 11:30:40
LTC/USD,170.35,170.42,11-06-21 11:30:30
LTC/USD,170.31,170.42,11-06-21 11:30:20
LTC/USD,170.32,170.36,11-06-21 11:30:10
LTC/USD,170.24,170.3,11-06-21 11:30:00
LTC/USD,170.14,170.27,11-06-21 11:29:50
LTC/USD,170.17,170.27,11-06-21 11:29:40
LTC/USD,170.3,170.38,11-06-21 11:29:30
LTC/USD,170.14,170.22,11-06-21 11:29:20
LTC/USD,170.14,170.21,11-06-21 11:29:10
LTC/USD,170.16,170.22,11-06-21 11:29:00
LTC/USD,170.08,170.15,11-06-21 11:28:50
LTC/USD,170.04,170.11,11-06-21 11:28:40
LTC/USD,170.14,170.21,11-06-21 11:28:30
LTC/USD,170.09,170.27,11-06-21 11:28:20
