PAIR,BID,ASK,TIME
DOG/USD,319380,325960,11-06-21 11:20:21
DOG/USD,319280,325750,11-06-21 11:20:11
DOG/USD,320270,325770,11-06-21 11:20:01
DOG/USD,319420,325710,11-06-21 11:19:51
DOG/USD,319310,325800,11-06-21 11:19:41
DOG/USD,319350,325820,11-06-21 11:19:31
DOG/USD,319240,325870,11-06-21 11:19:21
DOG/USD,319330,325970,11-06-21 11:19:11
DOG/USD,319680,325860,11-06-21 11:19:01
DOG/USD,320480,325860,11-06-21 11:18:51
DOG/USD,319490,326130,11-06-21 11:18:41
DOG/USD,319360,326170,11-06-21 11:18:31
DOG/USD,319400,326150,11-06-21 11:18:21
DOG/USD,320050,326340,11-06-21 11:18:11
DOG/USD,319980,326430,11-06-21 11:18:01
DOG/USD,318380,329800,11-06-21 11:17:50
DOG/USD,317480,329880,11-06-21 11:17:41
DOG/USD,318970,330020,11-06-21 11:17:31
DOG/USD,319010,329980,11-06-21 11:17:21
DOG/USD,318290,329630,11-06-21 11:17:11
DOG/USD,317440,329360,11-06-21 11:17:01
DOG/USD,318470,329360,11-06-21 11:16:51
DOG/USD,317930,329360,11-06-21 11:16:41
DOG/USD,317100,329360,11-06-21 11:16:31
DOG/USD,318040,329360,11-06-21 11:16:21
DOG/USD,317140,329360,11-06-21 11:16:11
DOG/USD,319420,329360,11-06-21 11:16:01
DOG/USD,318700,329360,11-06-21 11:15:51
DOG/USD,317550,329360,11-06-21 11:15:41
DOG/USD,316710,329360,11-06-21 11:15:31
DOG/USD,318150,329360,11-06-21 11:15:21
DOG/USD,317280,329360,11-06-21 11:15:11
DOG/USD,318610,329360,11-06-21 11:15:00
DOG/USD,317340,329360,11-06-21 11:14:51
DOG/USD,318960,329360,11-06-21 11:14:41
DOG/USD,318250,329360,11-06-21 11:14:31
DOG/USD,318030,329360,11-06-21 11:14:21
DOG/USD,316740,329490,11-06-21 11:14:11
DOG/USD,319780,329310,11-06-21 11:14:01
DOG/USD,320020,326100,11-06-21 11:13:51
DOG/USD,319570,325940,11-06-21 11:13:41
DOG/USD,319670,325940,11-06-21 11:13:31
DOG/USD,319700,325960,11-06-21 11:13:21
DOG/USD,319810,326020,11-06-21 11:13:11
DOG/USD,320610,326000,11-06-21 11:13:01
DOG/USD,319830,325960,11-06-21 11:12:51
DOG/USD,319560,325970,11-06-21 11:12:41
DOG/USD,320030,326020,11-06-21 11:12:31
DOG/USD,319610,326010,11-06-21 11:12:21
DOG/USD,319500,326030,11-06-21 11:12:11
DOG/USD,319860,326090,11-06-21 11:12:01
