PAIR,BID,ASK,TIME
UNI/USD,22.898,22.916,11-06-21 11:22:11
UNI/USD,22.891,22.907,11-06-21 11:22:01
UNI/USD,22.886,22.908,11-06-21 11:21:51
UNI/USD,22.889,22.908,11-06-21 11:21:41
UNI/USD,22.888,22.913,11-06-21 11:21:31
UNI/USD,22.891,22.91,11-06-21 11:21:21
UNI/USD,22.905,22.923,11-06-21 11:21:11
UNI/USD,22.905,22.927,11-06-21 11:21:01
UNI/USD,22.903,22.928,11-06-21 11:20:51
UNI/USD,22.904,22.921,11-06-21 11:20:41
UNI/USD,22.891,22.916,11-06-21 11:20:31
UNI/USD,22.914,22.939,11-06-21 11:20:21
UNI/USD,22.907,22.928,11-06-21 11:20:11
UNI/USD,22.892,22.913,11-06-21 11:20:01
UNI/USD,22.888,22.909,11-06-21 11:19:51
UNI/USD,22.897,22.923,11-06-21 11:19:41
UNI/USD,22.902,22.92,11-06-21 11:19:31
UNI/USD,22.885,22.896,11-06-21 11:19:21
UNI/USD,22.89,22.918,11-06-21 11:19:11
UNI/USD,22.885,22.892,11-06-21 11:19:01
UNI/USD,22.913,22.932,11-06-21 11:18:51
UNI/USD,22.927,22.952,11-06-21 11:18:41
UNI/USD,22.94,22.959,11-06-21 11:18:31
UNI/USD,22.931,22.95,11-06-21 11:18:21
UNI/USD,22.973,22.99,11-06-21 11:18:11
UNI/USD,22.99,23.007,11-06-21 11:18:01
UNI/USD,22.993,23.006,11-06-21 11:17:51
UNI/USD,23.005,23.025,11-06-21 11:17:41
UNI/USD,22.998,23.017,11-06-21 11:17:31
UNI/USD,23.005,23.022,11-06-21 11:17:21
UNI/USD,22.999,23.01,11-06-21 11:17:11
UNI/USD,22.989,23.006,11-06-21 11:17:01
UNI/USD,22.975,22.994,11-06-21 11:16:51
UNI/USD,22.982,22.998,11-06-21 11:16:41
UNI/USD,22.982,22.999,11-06-21 11:16:31
UNI/USD,22.982,22.999,11-06-21 11:16:21
UNI/USD,22.978,22.999,11-06-21 11:16:11
UNI/USD,22.982,23.001,11-06-21 11:16:01
UNI/USD,22.979,22.997,11-06-21 11:15:51
UNI/USD,22.982,23.009,11-06-21 11:15:41
UNI/USD,22.97,22.987,11-06-21 11:15:31
UNI/USD,22.965,22.979,11-06-21 11:15:21
UNI/USD,22.955,22.975,11-06-21 11:15:11
UNI/USD,22.965,22.984,11-06-21 11:15:01
UNI/USD,22.965,22.989,11-06-21 11:14:51
UNI/USD,22.965,22.989,11-06-21 11:14:41
UNI/USD,22.965,22.989,11-06-21 11:14:31
UNI/USD,22.957,22.979,11-06-21 11:14:21
UNI/USD,22.949,22.971,11-06-21 11:14:11
UNI/USD,22.939,22.97,11-06-21 11:14:01
UNI/USD,22.937,22.963,11-06-21 11:13:51
UNI/USD,22.922,22.944,11-06-21 11:13:41
UNI/USD,22.914,22.932,11-06-21 11:13:31
