PAIR,BID,ASK,TIME
UST/USD,1,1.0001,11-06-21 11:09:00
UST/USD,1,1.0001,11-06-21 11:08:50
UST/USD,1,1.0001,11-06-21 11:08:40
UST/USD,1,1.0001,11-06-21 11:08:30
UST/USD,1,1.0001,11-06-21 11:08:20
UST/USD,1,1.0001,11-06-21 11:08:10
UST/USD,1,1.0001,11-06-21 11:08:00
UST/USD,1,1.0001,11-06-21 11:07:50
UST/USD,1,1.0001,11-06-21 11:07:41
UST/USD,1,1.0001,11-06-21 11:07:30
UST/USD,1,1.0001,11-06-21 11:07:20
UST/USD,1,1.0001,11-06-21 11:07:10
UST/USD,1,1.0001,11-06-21 11:07:00
UST/USD,1,1.0001,11-06-21 11:06:50
UST/USD,1,1.0001,11-06-21 11:06:40
UST/USD,1,1.0001,11-06-21 11:06:30
UST/USD,1,1.0001,11-06-21 11:06:20
UST/USD,1,1.0001,11-06-21 11:06:10
UST/USD,1,1.0001,11-06-21 11:06:00
UST/USD,1,1.0001,11-06-21 11:05:50
UST/USD,1,1.0001,11-06-21 11:05:40
UST/USD,1,1.0001,11-06-21 11:05:30
UST/USD,1,1.0001,11-06-21 11:05:20
UST/USD,1,1.0001,11-06-21 11:05:10
UST/USD,1,1.0001,11-06-21 11:05:00
UST/USD,1,1.0001,11-06-21 11:04:50
UST/USD,1,1.0001,11-06-21 11:04:40
UST/USD,1,1.0001,11-06-21 11:04:30
UST/USD,1,1.0001,11-06-21 11:04:20
UST/USD,1,1.0001,11-06-21 11:04:10
UST/USD,1,1.0001,11-06-21 11:04:00
UST/USD,1,1.0001,11-06-21 11:03:50
UST/USD,1,1.0001,11-06-21 11:03:40
UST/USD,1,1.0001,11-06-21 11:03:30
UST/USD,1,1.0001,11-06-21 11:03:20
UST/USD,1,1.0001,11-06-21 11:03:11
UST/USD,1,1.0001,11-06-21 11:03:00
UST/USD,1,1.0001,11-06-21 11:02:50
UST/USD,1,1.0001,11-06-21 11:02:40
UST/USD,1,1.0001,11-06-21 11:02:30
UST/USD,1,1.0001,11-06-21 11:02:20
UST/USD,1,1.0001,11-06-21 11:02:10
UST/USD,1,1.0001,11-06-21 11:02:00
UST/USD,1,1.0001,11-06-21 11:01:50
UST/USD,1,1.0001,11-06-21 11:01:40
UST/USD,1,1.0001,11-06-21 11:01:30
UST/USD,1,1.0001,11-06-21 11:01:20
UST/USD,1,1.0001,11-06-21 11:01:10
UST/USD,1,1.0001,11-06-21 11:01:00
UST/USD,1,1.0001,11-06-21 11:00:51
UST/USD,1,1.0001,11-06-21 11:00:40
UST/USD,1,1.0001,11-06-21 11:00:30
UST/USD,1,1.0001,11-06-21 11:00:20
UST/USD,1,1.0001,11-06-21 11:00:10
UST/USD,1,1.0001,11-06-21 11:00:00
UST/USD,1,1.0001,11-06-21 10:59:50
UST/USD,1,1.0001,11-06-21 10:59:40
UST/USD,1,1.0001,11-06-21 10:59:30
UST/USD,1,1.0001,11-06-21 10:59:20
UST/USD,1,1.0001,11-06-21 10:59:10
UST/USD,1,1.0001,11-06-21 10:59:00
UST/USD,1,1.0001,11-06-21 10:58:50
UST/USD,1,1.0001,11-06-21 10:58:40
UST/USD,1,1.0001,11-06-21 10:58:30
UST/USD,1,1.0001,11-06-21 10:58:20
UST/USD,1,1.0001,11-06-21 10:58:10
UST/USD,1,1.0001,11-06-21 10:58:00
UST/USD,1,1.0001,11-06-21 10:57:50
UST/USD,1,1.0001,11-06-21 10:57:40
UST/USD,1,1.0001,11-06-21 10:57:30
UST/USD,1,1.0001,11-06-21 10:57:21
UST/USD,1,1.0001,11-06-21 10:57:11
UST/USD,1,1.0001,11-06-21 10:57:00
UST/USD,1,1.0001,11-06-21 10:56:50
UST/USD,1,1.0001,11-06-21 10:56:40
UST/USD,1,1.0001,11-06-21 10:56:30
UST/USD,1,1.0001,11-06-21 10:56:20
UST/USD,1,1.0001,11-06-21 10:56:10
UST/USD,1,1.0001,11-06-21 10:56:00
UST/USD,1,1.0001,11-06-21 10:55:50
UST/USD,1,1.0001,11-06-21 10:55:41
UST/USD,1,1.0001,11-06-21 10:55:30
UST/USD,1,1.0001,11-06-21 10:55:20
UST/USD,1,1.0001,11-06-21 10:55:10
UST/USD,1,1.0001,11-06-21 10:55:00
UST/USD,1,1.0001,11-06-21 10:54:50
UST/USD,1,1.0001,11-06-21 10:54:40
UST/USD,1,1.0001,11-06-21 10:54:30
UST/USD,1,1.0001,11-06-21 10:54:20
UST/USD,1,1.0001,11-06-21 10:54:10
UST/USD,1,1.0001,11-06-21 10:54:00
UST/USD,1,1.0001,11-06-21 10:53:50
UST/USD,1,1.0001,11-06-21 10:53:40
UST/USD,1,1.0001,11-06-21 10:53:30
UST/USD,1,1.0001,11-06-21 10:53:20
UST/USD,1,1.0001,11-06-21 10:53:10
UST/USD,1,1.0001,11-06-21 10:53:00
UST/USD,1,1.0001,11-06-21 10:52:50
UST/USD,1,1.0001,11-06-21 10:52:40
UST/USD,1,1.0001,11-06-21 10:52:30
UST/USD,1,1.0001,11-06-21 10:52:20
UST/USD,1,1.0001,11-06-21 10:52:10
UST/USD,1,1.0001,11-06-21 10:52:00
UST/USD,1,1.0001,11-06-21 10:51:50
UST/USD,1,1.0001,11-06-21 10:51:40
UST/USD,1,1.0001,11-06-21 10:51:30
UST/USD,1,1.0001,11-06-21 10:51:20
UST/USD,1,1.0001,11-06-21 10:51:11
UST/USD,1,1.0001,11-06-21 10:51:00
UST/USD,1,1.0001,11-06-21 10:50:50
UST/USD,1,1.0001,11-06-21 10:50:40
UST/USD,1,1.0001,11-06-21 10:50:30
UST/USD,1,1.0001,11-06-21 10:50:20
UST/USD,1,1.0001,11-06-21 10:50:10
UST/USD,0.9999,0.99992,11-06-21 10:50:00
UST/USD,0.9999,0.99992,11-06-21 10:49:50
UST/USD,0.9999,0.99992,11-06-21 10:49:40
UST/USD,0.9999,0.99992,11-06-21 10:49:30
UST/USD,0.99991,0.99992,11-06-21 10:49:20
