PAIR,BID,ASK,TIME
YFI/UST,37464,37494,11-06-21 11:43:41
YFI/UST,37469,37504,11-06-21 11:43:31
YFI/UST,37468,37514,11-06-21 11:43:21
YFI/UST,37458,37522,11-06-21 11:43:11
YFI/UST,37449,37512,11-06-21 11:43:01
YFI/UST,37453,37512,11-06-21 11:42:51
YFI/UST,37437,37478,11-06-21 11:42:41
YFI/UST,37434,37478,11-06-21 11:42:31
YFI/UST,37432,37478,11-06-21 11:42:21
YFI/UST,37434,37478,11-06-21 11:42:11
YFI/UST,37427,37472,11-06-21 11:42:01
YFI/UST,37411,37474,11-06-21 11:41:51
YFI/UST,37412,37477,11-06-21 11:41:41
YFI/UST,37410,37473,11-06-21 11:41:31
YFI/UST,37406,37471,11-06-21 11:41:21
YFI/UST,37408,37478,11-06-21 11:41:11
YFI/UST,37410,37480,11-06-21 11:41:01
YFI/UST,37397,37460,11-06-21 11:40:51
YFI/UST,37417,37460,11-06-21 11:40:41
YFI/UST,37405,37460,11-06-21 11:40:31
YFI/UST,37385,37449,11-06-21 11:40:21
YFI/UST,37377,37447,11-06-21 11:40:11
YFI/UST,37378,37452,11-06-21 11:40:01
YFI/UST,37373,37443,11-06-21 11:39:51
YFI/UST,37374,37443,11-06-21 11:39:41
YFI/UST,37364,37432,11-06-21 11:39:31
YFI/UST,37364,37432,11-06-21 11:39:21
YFI/UST,37365,37432,11-06-21 11:39:11
YFI/UST,37379,37443,11-06-21 11:39:01
YFI/UST,37384,37438,11-06-21 11:38:51
YFI/UST,37381,37438,11-06-21 11:38:41
YFI/UST,37382,37432,11-06-21 11:38:31
YFI/UST,37380,37430,11-06-21 11:38:21
YFI/UST,37377,37405,11-06-21 11:38:11
YFI/UST,37373,37400,11-06-21 11:38:01
YFI/UST,37369,37397,11-06-21 11:37:51
YFI/UST,37377,37403,11-06-21 11:37:41
YFI/UST,37375,37402,11-06-21 11:37:31
YFI/UST,37378,37405,11-06-21 11:37:21
YFI/UST,37375,37403,11-06-21 11:37:11
YFI/UST,37376,37403,11-06-21 11:37:01
YFI/UST,37373,37403,11-06-21 11:36:51
YFI/UST,37371,37404,11-06-21 11:36:41
YFI/UST,37373,37407,11-06-21 11:36:31
YFI/UST,37375,37410,11-06-21 11:36:21
YFI/UST,37367,37404,11-06-21 11:36:11
YFI/UST,37376,37418,11-06-21 11:36:01
YFI/UST,37373,37420,11-06-21 11:35:51
YFI/UST,37358,37412,11-06-21 11:35:41
YFI/UST,37350,37407,11-06-21 11:35:31
YFI/UST,37349,37400,11-06-21 11:35:21
YFI/UST,37348,37392,11-06-21 11:35:11
YFI/UST,37324,37364,11-06-21 11:35:01
YFI/UST,37337,37369,11-06-21 11:34:51
YFI/UST,37354,37381,11-06-21 11:34:41
YFI/UST,37341,37385,11-06-21 11:34:31
YFI/UST,37337,37387,11-06-21 11:34:21
YFI/UST,37335,37387,11-06-21 11:34:11
YFI/UST,37336,37387,11-06-21 11:34:01
YFI/UST,37323,37363,11-06-21 11:33:51
YFI/UST,37318,37361,11-06-21 11:33:41
YFI/UST,37323,37363,11-06-21 11:33:31
YFI/UST,37310,37353,11-06-21 11:33:21
YFI/UST,37303,37353,11-06-21 11:33:11
YFI/UST,37307,37359,11-06-21 11:33:01
YFI/UST,37308,37369,11-06-21 11:32:51
YFI/UST,37326,37383,11-06-21 11:32:41
YFI/UST,37376,37407,11-06-21 11:32:31
YFI/UST,37376,37407,11-06-21 11:32:21
YFI/UST,37376,37399,11-06-21 11:32:11
YFI/UST,37376,37405,11-06-21 11:32:01
YFI/UST,37376,37397,11-06-21 11:31:51
YFI/UST,37376,37395,11-06-21 11:31:41
YFI/UST,37376,37403,11-06-21 11:31:31
YFI/UST,37376,37414,11-06-21 11:31:21
YFI/UST,37376,37422,11-06-21 11:31:11
YFI/UST,37379,37442,11-06-21 11:31:01
YFI/UST,37419,37495,11-06-21 11:30:51
YFI/UST,37408,37468,11-06-21 11:30:41
YFI/UST,37385,37434,11-06-21 11:30:31
YFI/UST,37377,37427,11-06-21 11:30:21
YFI/UST,37376,37422,11-06-21 11:30:11
YFI/UST,37365,37410,11-06-21 11:30:01
YFI/UST,37363,37414,11-06-21 11:29:51
YFI/UST,37359,37416,11-06-21 11:29:41
